,IT・科学,おもしろ,エンタメ,グルメ,コラム,スポーツ,国内,海外
studio,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
surface,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
viewer,0.004878048780487805,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
word,0.00975609756097561,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
yoshiki,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
あこがれ,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0049504950495049506,0.002531645569620253,0.0025380710659898475,0.0025
あんこ,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
いい,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.005063291139240506,0.0025380710659898475,0.0025
おやつ,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
お土産,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
お手,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
お気持ち,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
こと,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
この,0.0024390243902439024,0.0024813895781637717,0.004878048780487805,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
こんなに,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
し,0.0024390243902439024,0.007444168734491315,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
たたずまい,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
たっぷり,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
ちぎれる,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.004962779156327543,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
できる,0.0024390243902439024,0.004962779156327543,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.0025380710659898475,0.0025
ない,0.0024390243902439024,0.0024813895781637717,0.0024390243902439024,0.0024813895781637717,0.0024752475247524753,0.002531645569620253,0.005076142131979695,0.0025
